Country,Confirmed_Cases,Deaths,Recovered,Month
Brazil,1.3482023E7,353137.0,1.1878958E7,04/11/2021
Ukraine,1913415.0,39012.0,1464790.0,04/12/2021
Cambodia,4696.0,33.0,2252.0,04/13/2021
Mauritania,18052.0,451.0,17398.0,04/13/2021
Kosovo,99210.0,2030.0,84540.0,04/14/2021
Thailand,37453.0,97.0,26873.0,04/15/2021
Zimbabwe,37422.0,1550.0,34961.0,04/15/2021
Equatorial Guinea,7259.0,106.0,6885.0,04/16/2021
South Sudan,10432.0,114.0,10148.0,04/16/2021
Fiji,77.0,2.0,65.0,04/20/2021
Israel,837357.0,6345.0,828902.0,04/20/2021
Bulgaria,392913.0,15618.0,318208.0,04/22/2021
India,1.6610481E7,189544.0,1.3867997E7,04/23/2021
Luxembourg,66007.0,790.0,62183.0,04/24/2021
Seychelles,5206.0,26.0,4675.0,04/24/2021
Brazil,1.4308215E7,389492.0,1.2606011E7,04/24/2021
Comoros,3829.0,146.0,3650.0,04/26/2021
Romania,1047520.0,27511.0,975703.0,04/26/2021
Congo (Kinshasa),29768.0,763.0,26172.0,04/28/2021
United Arab Emirates,516301.0,1580.0,497140.0,04/28/2021
